Hostname,Label,Vod,Live,Situação



gca-vivo-spovun001,edge-vivo-vun-sp,vod-01.edge-vivo-vun-sp.video.globo.com,live-01.edge-vivo-vun-sp.video.globo.com,Produção
gca-vivo-spopen01,edge-vivo-pen-sp,vod-01.edge-vivo-pen-sp.video.globo.com,live-01.edge-vivo-pen-sp.video.globo.com,Produção
gca-vivo-ldagmb001,edge-vivo-ldb-pr,vod-01.edge-vivo-ldb-pr.video.globo.com,live-01.edge-vivo-ldb-pr.video.globo.com,Desativado
gca-vivo-rjobar001,edge-vivo-bar-rj,vod-01.edge-vivo-bar-rj.video.globo.com,live-01.edge-vivo-bar-rj.video.globo.com,Produção
gca-vivo-rjosa001-old,edge-vivo-osa-rj,vod-01.edge-vivo-osa-rj.video.globo.com,live-01.edge-vivo-osa-rj.video.globo.com,Desativado
gca-vivo-spomrb001,edge-vivo-mrb-sp,vod-01.edge-vivo-mrb-sp.video.globo.com,live-01.edge-vivo-mrb-sp.video.globo.com,Produção
gca-vivo-spovun002,edge-vivo-vun-sp,vod-02.edge-vivo-vun-sp.video.globo.com,live-02.edge-vivo-vun-sp.video.globo.com,Produção
gca-vivo-spopen02,edge-vivo-pen-sp,vod-02.edge-vivo-pen-sp.video.globo.com,live-02.edge-vivo-pen-sp.video.globo.com,Produção
gca-vivo-spomrb002,edge-vivo-mrb-sp,vod-02.edge-vivo-mrb-sp.video.globo.com,live-02.edge-vivo-mrb-sp.video.globo.com,Produção
gca-flip-sparu001,edge-flip-aru-sp,vod-01.edge-flip-aru-sp.video.globo.com,live-01.edge-flip-aru-sp.video.globo.com,Produção
gca-aranet-paprs001,edge-aranet-prs-pa,vod-01.edge-aranet-prs-pa.video.globo.com,live-01.edge-aranet-prs-pa.video.globo.com,Produção
gca-brisanet-bassa001,edge-brisanet-ssa-ba,vod-01.edge-brisanet-ssa-ba.video.globo.com,live-01.edge-brisanet-ssa-ba.video.globo.com,Produção
gca-espdigital-rjbrx001,edge-espdigital-brx-rj,vod-01.edge-espdigital-brx-rj.video.globo.com,live-01.edge-espdigital-brx-rj.video.globo.com,Produção
gca-fasternet-spcqo001,edge-fasternet-cqo-sp,vod-01.edge-fasternet-cqo-sp.video.globo.com,live-01.edge-fasternet-cqo-sp.video.globo.com,Produção
gca-ibi-mggvr001,edge-ibi-gvr-mg,vod-01.edge-ibi-gvr-mg.video.globo.com,live-01.edge-ibi-gvr-mg.video.globo.com,Produção
gca-k2-rjgpm001,edge-k2-gpm-rj,vod-01.edge-k2-gpm-rj.video.globo.com,live-01.edge-k2-gpm-rj.video.globo.com,Produção
gca-k2-rjsrl001,edge-k2-srl-rj,vod-01.edge-k2-srl-rj.video.globo.com,live-01.edge-k2-srl-rj.video.globo.com,Produção
gca-k2-rjcaw001,edge-k2-caw-rj,vod-01.edge-k2-caw-rj.video.globo.com,live-01.edge-k2-caw-rj.video.globo.com,Desativado
gca-maxxnet-mgbhz001,edge-maxxnet-bhz-mg,vod-01.edge-maxxnet-bhz-mg.video.globo.com,live-01.edge-maxxnet-bhz-mg.video.globo.com,Produção
